"Semi-major Axis (m)","Eccentricity","Inclination (deg)","RAAN (deg)","Arg of Perigee (deg)","Mean Anomaly (deg)"
6978137.000,0.000000,45.003,359.884,0.000,359.874
6978137.000,0.000000,45.003,359.848,0.000,37.158
6978137.000,0.000000,45.003,359.813,0.000,74.442
6978137.000,0.000000,45.003,359.777,0.000,111.726
6978137.000,0.000000,45.003,359.741,0.000,149.010
6978137.000,0.000000,45.003,359.706,0.000,186.294
6978137.000,0.000000,45.003,359.670,0.000,223.578
6978137.000,0.000000,45.003,359.634,0.000,260.862
6978137.000,0.000000,45.003,359.598,0.000,298.146
6978137.000,0.000000,45.003,359.563,0.000,335.430
6978137.000,0.000000,45.003,359.527,0.000,12.714
6978137.000,0.000000,45.003,359.491,0.000,49.998
6978137.000,0.000000,45.003,359.455,0.000,87.282
6978137.000,0.000000,45.003,359.420,0.000,124.566
6978137.000,0.000000,45.003,359.384,0.000,161.850
6978137.000,0.000000,45.003,359.348,0.000,199.134
6978137.000,0.000000,45.003,359.313,0.000,236.418
6978137.000,0.000000,45.003,359.277,0.000,273.702
6978137.000,0.000000,45.003,359.241,0.000,310.986
6978137.000,0.000000,45.003,359.205,0.000,348.270
6978137.000,0.000000,45.003,359.170,0.000,25.554
6978137.000,0.000000,45.003,359.134,0.000,62.838
6978137.000,0.000000,45.003,359.098,0.000,100.122
6978137.000,0.000000,45.003,359.062,0.000,137.406
6978137.000,0.000000,45.003,359.027,0.000,174.690
6978137.000,0.000000,45.003,358.991,0.000,211.974
6978137.000,0.000000,45.003,358.955,0.000,249.258
6978137.000,0.000000,45.003,358.920,0.000,286.542
6978137.000,0.000000,45.003,358.884,0.000,323.826
6978137.000,0.000000,45.003,358.848,0.000,1.110
6978137.000,0.000000,45.003,358.812,0.000,38.394
6978137.000,0.000000,45.003,358.777,0.000,75.678
6978137.000,0.000000,45.003,358.741,0.000,112.962
6978137.000,0.000000,45.003,358.705,0.000,150.246
6978137.000,0.000000,45.003,358.669,0.000,187.530
6978137.000,0.000000,45.003,358.634,0.000,224.814
6978137.000,0.000000,45.003,358.598,0.000,262.098
6978137.000,0.000000,45.003,358.562,0.000,299.382
6978137.000,0.000000,45.003,358.526,0.000,336.666
6978137.000,0.000000,45.003,358.491,0.000,13.950
6978137.000,0.000000,45.003,358.455,0.000,51.234
6978137.000,0.000000,45.003,358.419,0.000,88.518
6978137.000,0.000000,45.003,358.384,0.000,125.802
6978137.000,0.000000,45.003,358.348,0.000,163.086
6978137.000,0.000000,45.003,358.312,0.000,200.370
6978137.000,0.000000,45.003,358.276,0.000,237.654
6978137.000,0.000000,45.003,358.241,0.000,274.938
6978137.000,0.000000,45.003,358.205,0.000,312.222
6978137.000,0.000000,45.003,358.169,0.000,349.506
6978137.000,0.000000,45.003,358.133,0.000,26.790
6978137.000,0.000000,45.003,358.098,0.000,64.074
6978137.000,0.000000,45.003,358.062,0.000,101.358
6978137.000,0.000000,45.003,358.026,0.000,138.642
6978137.000,0.000000,45.003,357.991,0.000,175.926
