"Semi-major Axis (m)","Eccentricity","Inclination (deg)","RAAN (deg)","Arg of Perigee (deg)","Mean Anomaly (deg)"
6978137.000,0.000000,45.003,359.884,0.000,111.116
6978137.000,0.000000,45.003,359.884,0.000,148.349
6978137.000,0.000000,45.003,359.884,0.000,185.583
6978137.000,0.000000,45.003,359.884,0.000,222.816
6978137.000,0.000000,45.003,359.884,0.000,260.050
6978137.000,0.000000,45.003,359.884,0.000,297.283
6978137.000,0.000000,45.003,359.884,0.000,334.517
6978137.000,0.000000,45.003,359.884,0.000,11.750
6978137.000,0.000000,45.003,359.884,0.000,48.984
6978137.000,0.000000,45.003,359.884,0.000,86.217
6978137.000,0.000000,45.003,359.884,0.000,123.451
6978137.000,0.000000,45.003,359.884,0.000,160.684
6978137.000,0.000000,45.003,359.884,0.000,197.918
6978137.000,0.000000,45.003,359.884,0.000,235.151
6978137.000,0.000000,45.003,359.884,0.000,272.385
6978137.000,0.000000,45.003,359.884,0.000,309.618
6978137.000,0.000000,45.003,359.884,0.000,346.852
6978137.000,0.000000,45.003,359.884,0.000,24.085
6978137.000,0.000000,45.003,359.884,0.000,61.318
6978137.000,0.000000,45.003,359.884,0.000,98.552
6978137.000,0.000000,45.003,359.884,0.000,135.785
6978137.000,0.000000,45.003,359.884,0.000,173.019
6978137.000,0.000000,45.003,359.884,0.000,210.252
6978137.000,0.000000,45.003,359.884,0.000,247.486
6978137.000,0.000000,45.003,359.884,0.000,284.719
6978137.000,0.000000,45.003,359.884,0.000,321.953
6978137.000,0.000000,45.003,359.884,0.000,359.186
6978137.000,0.000000,45.003,359.884,0.000,36.420
6978137.000,0.000000,45.003,359.884,0.000,73.653
6978137.000,0.000000,45.003,359.884,0.000,110.887
6978137.000,0.000000,45.003,359.884,0.000,148.120
6978137.000,0.000000,45.003,359.884,0.000,185.354
6978137.000,0.000000,45.003,359.884,0.000,222.587
6978137.000,0.000000,45.003,359.884,0.000,259.821
6978137.000,0.000000,45.003,359.884,0.000,297.054
6978137.000,0.000000,45.003,359.884,0.000,334.287
6978137.000,0.000000,45.003,359.884,0.000,11.521
6978137.000,0.000000,45.003,359.884,0.000,48.754
6978137.000,0.000000,45.003,359.884,0.000,85.988
6978137.000,0.000000,45.003,359.884,0.000,123.221
6978137.000,0.000000,45.003,359.884,0.000,160.455
6978137.000,0.000000,45.003,359.884,0.000,197.688
6978137.000,0.000000,45.003,359.884,0.000,234.922
6978137.000,0.000000,45.003,359.884,0.000,272.155
6978137.000,0.000000,45.003,359.884,0.000,309.389
6978137.000,0.000000,45.003,359.884,0.000,346.622
6978137.000,0.000000,45.003,359.884,0.000,23.856
6978137.000,0.000000,45.003,359.884,0.000,61.089
6978137.000,0.000000,45.003,359.884,0.000,98.323
6978137.000,0.000000,45.003,359.884,0.000,135.556
6978137.000,0.000000,45.003,359.884,0.000,172.790
6978137.000,0.000000,45.003,359.884,0.000,210.023
6978137.000,0.000000,45.003,359.884,0.000,247.256
6978137.000,0.000000,45.003,359.884,0.000,284.490
6978137.000,0.000000,45.003,359.884,0.000,321.723
6978137.000,0.000000,45.003,359.884,0.000,358.957
6978137.000,0.000000,45.003,359.884,0.000,36.190
6978137.000,0.000000,45.003,359.884,0.000,73.424
6978137.000,0.000000,45.003,359.884,0.000,110.657
6978137.000,0.000000,45.003,359.884,0.000,147.891
6978137.000,0.000000,45.003,359.884,0.000,185.124
6978137.000,0.000000,45.003,359.884,0.000,222.358
6978137.000,0.000000,45.003,359.884,0.000,259.591
6978137.000,0.000000,45.003,359.884,0.000,296.825
6978137.000,0.000000,45.003,359.884,0.000,334.058
6978137.000,0.000000,45.003,359.884,0.000,11.292
6978137.000,0.000000,45.003,359.884,0.000,48.525
6978137.000,0.000000,45.003,359.884,0.000,85.759
6978137.000,0.000000,45.003,359.884,0.000,122.992
6978137.000,0.000000,45.003,359.884,0.000,160.226
6978137.000,0.000000,45.003,359.884,0.000,197.459
6978137.000,0.000000,45.003,359.884,0.000,234.692
6978137.000,0.000000,45.003,359.884,0.000,271.926
6978137.000,0.000000,45.003,359.884,0.000,309.159
6978137.000,0.000000,45.003,359.884,0.000,346.393
6978137.000,0.000000,45.003,359.884,0.000,23.626
6978137.000,0.000000,45.003,359.884,0.000,60.860
6978137.000,0.000000,45.003,359.884,0.000,98.093
6978137.000,0.000000,45.003,359.884,0.000,135.327
6978137.000,0.000000,45.003,359.884,0.000,172.560
6978137.000,0.000000,45.003,359.884,0.000,209.794
6978137.000,0.000000,45.003,359.884,0.000,247.027
6978137.000,0.000000,45.003,359.884,0.000,284.261
6978137.000,0.000000,45.003,359.884,0.000,321.494
6978137.000,0.000000,45.003,359.884,0.000,358.728
6978137.000,0.000000,45.003,359.884,0.000,35.961
6978137.000,0.000000,45.003,359.884,0.000,73.195
6978137.000,0.000000,45.003,359.884,0.000,110.428
6978137.000,0.000000,45.003,359.884,0.000,147.661
6978137.000,0.000000,45.003,359.884,0.000,184.895
6978137.000,0.000000,45.003,359.884,0.000,222.128
6978137.000,0.000000,45.003,359.884,0.000,259.362
6978137.000,0.000000,45.003,359.884,0.000,296.595
6978137.000,0.000000,45.003,359.884,0.000,333.829
6978137.000,0.000000,45.003,359.884,0.000,11.062
6978137.000,0.000000,45.003,359.884,0.000,48.296
6978137.000,0.000000,45.003,359.884,0.000,85.529
6978137.000,0.000000,45.003,359.884,0.000,122.763
6978137.000,0.000000,45.003,359.884,0.000,159.996
6978137.000,0.000000,45.003,359.884,0.000,197.230
6978137.000,0.000000,45.003,359.884,0.000,234.463
6978137.000,0.000000,45.003,359.884,0.000,271.697
6978137.000,0.000000,45.003,359.884,0.000,308.930
6978137.000,0.000000,45.003,359.884,0.000,346.164
6978137.000,0.000000,45.003,359.884,0.000,23.397
6978137.000,0.000000,45.003,359.884,0.000,60.630
6978137.000,0.000000,45.003,359.884,0.000,97.864
6978137.000,0.000000,45.003,359.884,0.000,135.097
6978137.000,0.000000,45.003,359.884,0.000,172.331
6978137.000,0.000000,45.003,359.884,0.000,209.564
6978137.000,0.000000,45.003,359.884,0.000,246.798
6978137.000,0.000000,45.003,359.884,0.000,284.031
6978137.000,0.000000,45.003,359.884,0.000,321.265
6978137.000,0.000000,45.003,359.884,0.000,358.498
6978137.000,0.000000,45.003,359.884,0.000,35.732
6978137.000,0.000000,45.003,359.884,0.000,72.965
6978137.000,0.000000,45.003,359.884,0.000,110.199
6978137.000,0.000000,45.003,359.884,0.000,147.432
6978137.000,0.000000,45.003,359.884,0.000,184.666
6978137.000,0.000000,45.003,359.884,0.000,221.899
6978137.000,0.000000,45.003,359.884,0.000,259.133
6978137.000,0.000000,45.003,359.884,0.000,296.366
6978137.000,0.000000,45.003,359.884,0.000,333.600
6978137.000,0.000000,45.003,359.884,0.000,10.833
6978137.000,0.000000,45.003,359.884,0.000,48.066
6978137.000,0.000000,45.003,359.884,0.000,85.300
6978137.000,0.000000,45.003,359.884,0.000,122.533
6978137.000,0.000000,45.003,359.884,0.000,159.767
6978137.000,0.000000,45.003,359.884,0.000,197.000
6978137.000,0.000000,45.003,359.884,0.000,234.234
6978137.000,0.000000,45.003,359.884,0.000,271.467
6978137.000,0.000000,45.003,359.884,0.000,308.701
6978137.000,0.000000,45.003,359.884,0.000,345.934
6978137.000,0.000000,45.003,359.884,0.000,23.168
6978137.000,0.000000,45.003,359.884,0.000,60.401
6978137.000,0.000000,45.003,359.884,0.000,97.635
6978137.000,0.000000,45.003,359.884,0.000,134.868
6978137.000,0.000000,45.003,359.884,0.000,172.102
6978137.000,0.000000,45.003,359.884,0.000,209.335
6978137.000,0.000000,45.003,359.884,0.000,246.569
6978137.000,0.000000,45.003,359.884,0.000,283.802
6978137.000,0.000000,45.003,359.884,0.000,321.035
6978137.000,0.000000,45.003,359.884,0.000,358.269
6978137.000,0.000000,45.003,359.884,0.000,35.502
6978137.000,0.000000,45.003,359.884,0.000,72.736
6978137.000,0.000000,45.003,359.884,0.000,109.969
6978137.000,0.000000,45.003,359.884,0.000,147.203
6978137.000,0.000000,45.003,359.884,0.000,184.436
6978137.000,0.000000,45.003,359.884,0.000,221.670
6978137.000,0.000000,45.003,359.884,0.000,258.903
6978137.000,0.000000,45.003,359.884,0.000,296.137
6978137.000,0.000000,45.003,359.884,0.000,333.370
6978137.000,0.000000,45.003,359.884,0.000,10.604
6978137.000,0.000000,45.003,359.884,0.000,47.837
6978137.000,0.000000,45.003,359.884,0.000,85.071
6978137.000,0.000000,45.003,359.884,0.000,122.304
6978137.000,0.000000,45.003,359.884,0.000,159.538
6978137.000,0.000000,45.003,359.884,0.000,196.771
6978137.000,0.000000,45.003,359.884,0.000,234.004
6978137.000,0.000000,45.003,359.884,0.000,271.238
6978137.000,0.000000,45.003,359.884,0.000,308.471
6978137.000,0.000000,45.003,359.884,0.000,345.705
6978137.000,0.000000,45.003,359.884,0.000,22.938
6978137.000,0.000000,45.003,359.884,0.000,60.172
6978137.000,0.000000,45.003,359.884,0.000,97.405
6978137.000,0.000000,45.003,359.884,0.000,134.639
6978137.000,0.000000,45.003,359.884,0.000,171.872
6978137.000,0.000000,45.003,359.884,0.000,209.106
6978137.000,0.000000,45.003,359.884,0.000,246.339
6978137.000,0.000000,45.003,359.884,0.000,283.573
6978137.000,0.000000,45.003,359.884,0.000,320.806
6978137.000,0.000000,45.003,359.884,0.000,358.040
6978137.000,0.000000,45.003,359.884,0.000,35.273
6978137.000,0.000000,45.003,359.884,0.000,72.507
6978137.000,0.000000,45.003,359.884,0.000,109.740
6978137.000,0.000000,45.003,359.884,0.000,146.974
6978137.000,0.000000,45.003,359.884,0.000,184.207
6978137.000,0.000000,45.003,359.884,0.000,221.440
6978137.000,0.000000,45.003,359.884,0.000,258.674
6978137.000,0.000000,45.003,359.884,0.000,295.907
6978137.000,0.000000,45.003,359.884,0.000,333.141
6978137.000,0.000000,45.003,359.884,0.000,10.374
6978137.000,0.000000,45.003,359.884,0.000,47.608
6978137.000,0.000000,45.003,359.884,0.000,84.841
6978137.000,0.000000,45.003,359.884,0.000,122.075
6978137.000,0.000000,45.003,359.884,0.000,159.308
6978137.000,0.000000,45.003,359.884,0.000,196.542
6978137.000,0.000000,45.003,359.884,0.000,233.775
6978137.000,0.000000,45.003,359.884,0.000,271.009
6978137.000,0.000000,45.003,359.884,0.000,308.242
6978137.000,0.000000,45.003,359.884,0.000,345.476
6978137.000,0.000000,45.003,359.884,0.000,22.709
6978137.000,0.000000,45.003,359.884,0.000,59.943
6978137.000,0.000000,45.003,359.884,0.000,97.176
6978137.000,0.000000,45.003,359.884,0.000,134.409
6978137.000,0.000000,45.003,359.884,0.000,171.643
6978137.000,0.000000,45.003,359.884,0.000,208.876
6978137.000,0.000000,45.003,359.884,0.000,246.110
6978137.000,0.000000,45.003,359.884,0.000,283.343
6978137.000,0.000000,45.003,359.884,0.000,320.577
6978137.000,0.000000,45.003,359.884,0.000,357.810
6978137.000,0.000000,45.003,359.884,0.000,35.044
6978137.000,0.000000,45.003,359.884,0.000,72.277
6978137.000,0.000000,45.003,359.884,0.000,109.511
6978137.000,0.000000,45.003,359.884,0.000,146.744
6978137.000,0.000000,45.003,359.884,0.000,183.978
6978137.000,0.000000,45.003,359.884,0.000,221.211
6978137.000,0.000000,45.003,359.884,0.000,258.445
6978137.000,0.000000,45.003,359.884,0.000,295.678
6978137.000,0.000000,45.003,359.884,0.000,332.912
6978137.000,0.000000,45.003,359.884,0.000,10.145
6978137.000,0.000000,45.003,359.884,0.000,47.378
6978137.000,0.000000,45.003,359.884,0.000,84.612
6978137.000,0.000000,45.003,359.884,0.000,121.845
6978137.000,0.000000,45.003,359.884,0.000,159.079
6978137.000,0.000000,45.003,359.884,0.000,196.312
6978137.000,0.000000,45.003,359.884,0.000,233.546
6978137.000,0.000000,45.003,359.884,0.000,270.779
6978137.000,0.000000,45.003,359.884,0.000,308.013
6978137.000,0.000000,45.003,359.884,0.000,345.246
6978137.000,0.000000,45.003,359.884,0.000,22.480
6978137.000,0.000000,45.003,359.884,0.000,59.713
6978137.000,0.000000,45.003,359.884,0.000,96.947
6978137.000,0.000000,45.003,359.884,0.000,134.180
6978137.000,0.000000,45.003,359.884,0.000,171.414
6978137.000,0.000000,45.003,359.884,0.000,208.647
6978137.000,0.000000,45.003,359.884,0.000,245.881
6978137.000,0.000000,45.003,359.884,0.000,283.114
6978137.000,0.000000,45.003,359.884,0.000,320.348
6978137.000,0.000000,45.003,359.884,0.000,357.581
6978137.000,0.000000,45.003,359.884,0.000,34.814
6978137.000,0.000000,45.003,359.884,0.000,72.048
6978137.000,0.000000,45.003,359.884,0.000,109.281
6978137.000,0.000000,45.003,359.884,0.000,146.515
6978137.000,0.000000,45.003,359.884,0.000,183.748
