"Point Number","Latitude (deg)","Longitude (deg)","Altitude (km)","Area (km^2)","Latitude Span (deg)","Longitude Span (deg)"
80,-77.859450,69.230769,0.000000,48550.355838,2.031233,9.230769
81,-77.859450,78.461538,0.000000,48550.355838,2.031233,9.230769
82,-75.828217,60.000000,0.000000,56525.206727,2.031233,9.230769
83,-75.828217,69.230769,0.000000,56525.206727,2.031233,9.230769
84,-75.828217,78.461538,0.000000,56525.206727,2.031233,9.230769
85,-79.890683,87.692308,0.000000,40516.823164,2.031233,9.230769
86,-79.890683,96.923077,0.000000,40516.823164,2.031233,9.230769
87,-79.890683,106.153846,0.000000,40516.823164,2.031233,9.230769
88,-77.859450,87.692308,0.000000,48550.355838,2.031233,9.230769
89,-77.859450,96.923077,0.000000,48550.355838,2.031233,9.230769
90,-77.859450,106.153846,0.000000,48550.355838,2.031233,9.230769
91,-75.828217,87.692308,0.000000,56525.206727,2.031233,9.230769
92,-75.828217,96.923077,0.000000,56525.206727,2.031233,9.230769
93,-75.828217,106.153846,0.000000,56525.206727,2.031233,9.230769
94,-79.890683,115.384615,0.000000,40516.823164,2.031233,9.230769
95,-79.890683,124.615385,0.000000,40516.823164,2.031233,9.230769
96,-79.890683,133.846154,0.000000,40516.823164,2.031233,9.230769
97,-77.859450,115.384615,0.000000,48550.355838,2.031233,9.230769
98,-77.859450,124.615385,0.000000,48550.355838,2.031233,9.230769
99,-77.859450,133.846154,0.000000,48550.355838,2.031233,9.230769
100,-75.828217,115.384615,0.000000,56525.206727,2.031233,9.230769
101,-75.828217,124.615385,0.000000,56525.206727,2.031233,9.230769
102,-75.828217,133.846154,0.000000,56525.206727,2.031233,9.230769
103,-79.890683,143.076923,0.000000,40516.823164,2.031233,9.230769
104,-79.890683,152.307692,0.000000,40516.823164,2.031233,9.230769
105,-77.859450,143.076923,0.000000,48550.355838,2.031233,9.230769
106,-77.859450,152.307692,0.000000,48550.355838,2.031233,9.230769
107,-77.859450,161.538462,0.000000,48550.355838,2.031233,9.230769
108,-75.828217,143.076923,0.000000,56525.206727,2.031233,9.230769
109,-75.828217,152.307692,0.000000,56525.206727,2.031233,9.230769
110,-75.828217,161.538462,0.000000,56525.206727,2.031233,9.230769
111,-79.890683,216.923077,0.000000,40516.823164,2.031233,9.230769
112,-77.859450,207.692308,0.000000,48550.355838,2.031233,9.230769
113,-77.859450,216.923077,0.000000,48550.355838,2.031233,9.230769
114,-75.828217,216.923077,0.000000,56525.206727,2.031233,9.230769
115,-79.890683,226.153846,0.000000,40516.823164,2.031233,9.230769
116,-79.890683,235.384615,0.000000,40516.823164,2.031233,9.230769
117,-79.890683,244.615385,0.000000,40516.823164,2.031233,9.230769
118,-77.859450,226.153846,0.000000,48550.355838,2.031233,9.230769
119,-77.859450,235.384615,0.000000,48550.355838,2.031233,9.230769
120,-77.859450,244.615385,0.000000,48550.355838,2.031233,9.230769
121,-75.828217,226.153846,0.000000,56525.206727,2.031233,9.230769
122,-75.828217,235.384615,0.000000,56525.206727,2.031233,9.230769
123,-75.828217,244.615385,0.000000,56525.206727,2.031233,9.230769
124,-79.890683,253.846154,0.000000,40516.823164,2.031233,9.230769
125,-79.890683,263.076923,0.000000,40516.823164,2.031233,9.230769
126,-79.890683,272.307692,0.000000,40516.823164,2.031233,9.230769
127,-77.859450,253.846154,0.000000,48550.355838,2.031233,9.230769
128,-77.859450,263.076923,0.000000,48550.355838,2.031233,9.230769
